#,term,topic,subtopic,n_words,n_patents,tfidf,score,variants,patents
187,catalyst material,Fuel cells,Catalysts,2,1,10.021,18.3,catalyst material,US20060002844A1-20060105
188,unsupported metal black catalyst,Fuel cells,Catalysts,4,1,5.011,18.2,unsupported metal black catalyst,US20160118671A1-20160428
189,carbon nanofiber catalyst substrate,Fuel cells,Catalysts,4,1,5.011,16.5,carbon nanofiber catalyst substrate,US20170200955A1-20170713
190,supported electrocatalyst,Fuel cells,Catalysts,2,1,5.011,14.3,supported electrocatalyst,US20160118671A1-20160428
191,ruthenium-palladium-iridium alloy,Fuel cells,Catalysts,2,1,5.011,14.2,ruthenium-palladium-iridium alloys,US20160118671A1-20160428
192,ruthenium-palladium-iridium-rhenium alloy,Fuel cells,Catalysts,2,1,5.011,14.2,ruthenium-palladium-iridium-rhenium alloys,US20160118671A1-20160428
193,platinum oxide material,Fuel cells,Catalysts,3,1,5.011,13.6,platinum oxide material,US20160149249A1-20160526
194,core-shell catalyst,Fuel cells,Catalysts,2,1,5.011,13.3,core-shell catalyst,US20160172685A1-20160616
195,cathode electrocatalyst,Fuel cells,Catalysts,2,1,5.011,11.4,cathode electrocatalyst,US20160118671A1-20160428
196,catalyst substrate,Fuel cells,Catalysts,2,1,10.021,10.7,catalyst substrate,US20170200955A1-20170713
197,anode inlet,Fuel cells,"Fuel, gas handling & reforming",2,2,47.492,70.0,anode inlet,US20060078768A1-20060413 US20160141692A1-20160519
198,fuel source,Fuel cells,"Fuel, gas handling & reforming",2,2,21.587,48.6,fuel source,US20160141692A1-20160519 US20160156047A1-20160602
199,exhaust stream,Fuel cells,"Fuel, gas handling & reforming",2,2,17.27,34.6,exhaust stream | exhaust streams,US20060110634A1-20060525 US20060099464A1-20060511
200,cathode exhaust conduit,Fuel cells,"Fuel, gas handling & reforming",3,1,40.085,107.4,cathode exhaust conduit,US20060110634A1-20060525
201,exhaust hydrogen gas,Fuel cells,"Fuel, gas handling & reforming",3,1,25.053,65.3,exhaust hydrogen gas,US20060051632A1-20060309
202,anode inlet gas,Fuel cells,"Fuel, gas handling & reforming",3,1,25.053,60.9,anode inlet gas,US20160141692A1-20160519
203,fuel cartridge,Fuel cells,"Fuel, gas handling & reforming",2,1,30.064,58.7,fuel cartridge,US20060172171A1-20060803
204,fuel stream passage,Fuel cells,"Fuel, gas handling & reforming",3,1,20.043,53.1,fuel stream passages,US20060099464A1-20060511
205,purge valve,Fuel cells,"Fuel, gas handling & reforming",2,1,20.043,49.5,purge valve,US20060051632A1-20060309
206,fuel stream,Fuel cells,"Fuel, gas handling & reforming",2,1,45.096,47.6,fuel stream | fuel streams,US20060099464A1-20060511
207,anode gas,Fuel cells,"Fuel, gas handling & reforming",2,1,30.064,46.2,anode gas,US20160197367A1-20160707
208,reformer heat exchanger,Fuel cells,"Fuel, gas handling & reforming",3,1,15.032,46.2,reformer heat exchanger,US20160141692A1-20160519
209,cartridge receptacle device,Fuel cells,"Fuel, gas handling & reforming",3,1,15.032,45.1,cartridge receptacle device,US20060172171A1-20060803
210,cathode gas,Fuel cells,"Fuel, gas handling & reforming",2,1,35.074,44.9,cathode gas,US20160197367A1-20160707
211,aqueous methanol solution,Fuel cells,"Fuel, gas handling & reforming",3,1,15.032,44.3,aqueous methanol solution,US20060046123A1-20060302
212,anode inlet unit,Fuel cells,"Fuel, gas handling & reforming",3,1,15.032,37.8,anode inlet unit,US20060078768A1-20060413
213,cathode inlet gas,Fuel cells,"Fuel, gas handling & reforming",3,1,15.032,35.9,cathode inlet gas,US20160141692A1-20160519
214,off-gas fluid flow path,Fuel cells,"Fuel, gas handling & reforming",4,1,10.021,33.6,off-gas fluid flow path,US20160141692A1-20160519
215,cathode inlet,Fuel cells,"Fuel, gas handling & reforming",2,1,30.064,29.2,cathode inlet,US20160141692A1-20160519
216,water vapor-containing gas,Fuel cells,"Fuel, gas handling & reforming",3,1,10.021,29.0,water vapor-containing gas,US20160164128A1-20160609
217,cathode gas control unit,Fuel cells,"Fuel, gas handling & reforming",4,1,10.021,28.9,cathode gas control unit,US20160197367A1-20160707
218,anode off-gas outlet,Fuel cells,"Fuel, gas handling & reforming",3,1,10.021,28.5,anode off-gas outlet,US20160141692A1-20160519
219,cathode off-gas outlet,Fuel cells,"Fuel, gas handling & reforming",3,1,10.021,28.1,cathode off-gas outlet,US20160141692A1-20160519
220,common manifold,Fuel cells,"Fuel, gas handling & reforming",2,1,10.021,27.6,common manifold,US20060099464A1-20060511
221,steam reformer,Fuel cells,"Fuel, gas handling & reforming",2,1,10.021,27.2,steam reformer,US20160141692A1-20160519
222,fuel cell system exhaust,Fuel cells,"Fuel, gas handling & reforming",4,1,10.021,25.1,fuel cell system exhaust,US20160141692A1-20160519
223,off-gas outlet,Fuel cells,"Fuel, gas handling & reforming",2,1,20.043,24.4,off-gas outlet,US20160141692A1-20160519
224,hydrogen-containing gas,Fuel cells,"Fuel, gas handling & reforming",2,1,10.021,23.2,hydrogen-containing gas,US20160164128A1-20160609
225,oxidant inlet,Fuel cells,"Fuel, gas handling & reforming",2,1,10.021,22.4,oxidant inlet,US20160141692A1-20160519
226,anode off-gas,Fuel cells,"Fuel, gas handling & reforming",2,1,20.043,22.2,anode off-gas,US20160141692A1-20160519
227,fuel reservoir,Fuel cells,"Fuel, gas handling & reforming",2,1,10.021,22.1,fuel reservoir,US20060078764A1-20060413
228,cathode off-gas,Fuel cells,"Fuel, gas handling & reforming",2,1,20.043,21.7,cathode off-gas,US20160141692A1-20160519
229,stack valve,Fuel cells,"Fuel, gas handling & reforming",2,1,10.021,20.5,stack valve,US20060134483A1-20060622
230,hydrogen gas,Fuel cells,"Fuel, gas handling & reforming",2,1,35.074,19.8,hydrogen gas,US20060051632A1-20060309
231,solid fuel,Fuel cells,"Fuel, gas handling & reforming",2,1,10.021,17.2,solid fuel,US20060078764A1-20060413
232,intermediate reforming process,Fuel cells,"Fuel, gas handling & reforming",3,1,5.011,17.1,intermediate reforming process,US20060046123A1-20060302
233,regenerative oxidizer assembly,Fuel cells,"Fuel, gas handling & reforming",3,1,5.011,16.9,regenerative oxidizer assembly,US20060035119A1-20060216
234,anode gas control unit,Fuel cells,"Fuel, gas handling & reforming",4,1,5.011,14.6,anode gas control unit,US20160197367A1-20160707
235,recirculation loop,Fuel cells,"Fuel, gas handling & reforming",2,1,5.011,14.0,recirculation loop,US20060046108A1-20060302
236,hydrogen distribution system,Fuel cells,"Fuel, gas handling & reforming",3,1,5.011,13.9,hydrogen distribution system,US20060088739A1-20060427
237,fuel extraction device,Fuel cells,"Fuel, gas handling & reforming",3,1,5.011,13.6,fuel extraction devices,US20060172171A1-20060803
238,hydrogen flow control,Fuel cells,"Fuel, gas handling & reforming",3,1,5.011,13.6,hydrogen flow control,US20060078768A1-20060413
239,electrolyte-fuel mixture,Fuel cells,"Fuel, gas handling & reforming",2,1,5.011,13.4,electrolyte-fuel mixture,US20060078764A1-20060413
240,hydrogen supply gas,Fuel cells,"Fuel, gas handling & reforming",3,1,5.011,13.3,hydrogen supply gas,US20060078768A1-20060413
241,pressure regulator,Fuel cells,"Fuel, gas handling & reforming",2,1,5.011,13.1,pressure regulator,US20160156047A1-20160602
242,supply header,Fuel cells,"Fuel, gas handling & reforming",2,1,5.011,13.1,supply header,US20060035133A1-20060216
243,methanol concentration,Fuel cells,"Fuel, gas handling & reforming",2,1,5.011,13.0,methanol concentration,US20060046123A1-20060302
244,fuel exhaust stream,Fuel cells,"Fuel, gas handling & reforming",3,1,5.011,12.7,fuel exhaust streams,US20060099464A1-20060511
245,stored hydrogen,Fuel cells,"Fuel, gas handling & reforming",2,1,5.011,12.5,stored hydrogen,US20060003203A1-20060105
246,methanol container,Fuel cells,"Fuel, gas handling & reforming",2,1,5.011,12.5,methanol container,US20060046123A1-20060302
247,reformer outlet,Fuel cells,"Fuel, gas handling & reforming",2,1,5.011,12.3,reformer outlet,US20160141692A1-20160519
248,anode loop,Fuel cells,"Fuel, gas handling & reforming",2,1,5.011,11.9,anode loop,US20060046108A1-20060302
249,reformer inlet,Fuel cells,"Fuel, gas handling & reforming",2,1,5.011,11.7,reformer inlet,US20160141692A1-20160519
250,gas recirculation,Fuel cells,"Fuel, gas handling & reforming",2,1,5.011,11.4,gas recirculation,US20060051632A1-20060309
251,oxidizing gas,Fuel cells,"Fuel, gas handling & reforming",2,1,5.011,11.4,oxidizing gas,US20060051632A1-20060309
252,hydrocarbon fuel,Fuel cells,"Fuel, gas handling & reforming",2,1,5.011,11.1,hydrocarbon fuel,US20160141692A1-20160519
253,manifold assembly,Fuel cells,"Fuel, gas handling & reforming",2,1,5.011,11.0,manifold assembly,US20060141306A1-20060629
254,methanol fuel,Fuel cells,"Fuel, gas handling & reforming",2,1,10.021,9.9,methanol fuel,US20060046123A1-20060302
255,liquid fuel,Fuel cells,"Fuel, gas handling & reforming",2,1,5.011,8.9,liquid fuel,US20060046123A1-20060302
256,seal body,Fuel cells,Seals & gaskets,2,1,15.032,35.6,seal body,US20160218378A1-20160728
257,seal composition,Fuel cells,Seals & gaskets,2,1,15.032,34.3,seal composition | seal compositions,US20160118674A1-20160428
258,elastic sealing member,Fuel cells,Seals & gaskets,3,1,5.011,17.4,elastic sealing member,US20160141568A1-20160519
259,glass ceramic seal,Fuel cells,Seals & gaskets,3,1,5.011,15.9,glass ceramic seal,US20160118674A1-20160428
260,sintered gasket,Fuel cells,Seals & gaskets,2,1,5.011,14.3,sintered gasket,US20060121327A1-20060608
261,sealing gasket,Fuel cells,Seals & gaskets,2,1,5.011,13.2,sealing gasket,US20060046124A1-20060302
262,gasket interface,Fuel cells,Seals & gaskets,2,1,5.011,12.9,gasket interfaces,US20060046124A1-20060302
263,insulating gasket,Fuel cells,Seals & gaskets,2,1,5.011,12.4,insulating gasket,US20060121327A1-20060608
264,gasket composition,Fuel cells,Seals & gaskets,2,1,5.011,11.8,gasket composition,US20060121327A1-20060608
265,active material,Electrode materials,Active materials,2,29,133.11,598.4,active material | active materials,US20060105244A1-20060518 US20060093921A1-20060504 US20160248088A1-20160825 US20160190570A1-20160630 US20160248093A1-20160825 US20160164085A1-20160609 US20160181609A1-20160623 US20160190560A1-20160630 US20160156069A1-20160602 US20170062800A1-20170302 US20160344021A1-20161124 US20160149214A1-20160526 US20160226067A1-20160804 US20160226070A1-20160804 US20160126546A1-20160505 US20160172674A1-20160616 US20160211554A1-20160721 US20160211539A1-20160721 US20170092937A1-20170330 US20160211504A1-20160721 US20170194636A1-20170706 US20160141604A1-20160519 US20160172673A1-20160616 US20160164091A1-20160609 US20160149216A1-20160526 US20160204438A1-20160714 US20160164093A1-20160609 US20160204434A1-20160714 US20160240843A1-20160818
266,electrode active material,Electrode materials,Active materials,3,8,82.073,197.4,electrode active material,US20160190560A1-20160630 US20160156069A1-20160602 US20160149214A1-20160526 US20160126546A1-20160505 US20160211554A1-20160721 US20160211504A1-20160721 US20160204434A1-20160714 US20160240843A1-20160818
267,electrode material,Electrode materials,Active materials,2,8,49.83,112.5,electrode material,US20060051674A1-20060309 US20160372750A1-20161222 US20160211515A1-20160721 US20170092937A1-20170330 US20160164104A1-20160609 US20160204427A1-20160714 US20160204434A1-20160714 US20160240843A1-20160818
268,cathode active material,Electrode materials,Active materials,3,6,48.283,160.2,cathode active material,US20160248093A1-20160825 US20160181609A1-20160623 US20160172674A1-20160616 US20160172673A1-20160616 US20160164091A1-20160609 US20160164093A1-20160609
269,negative electrode active material,Electrode materials,Active materials,4,5,68.024,248.2,negative electrode active material,US20160190560A1-20160630 US20160156069A1-20160602 US20160149214A1-20160526 US20160126546A1-20160505 US20160240843A1-20160818
270,carbon material,Electrode materials,Active materials,2,3,27.384,48.7,carbon materials | carbon material,US20060002844A1-20060105 US20160372750A1-20161222 US20160164104A1-20160609
271,cathode material,Electrode materials,Active materials,2,3,31.296,42.0,cathode material,US20160204444A1-20160714 US20160126539A1-20160505 US20160164075A1-20160609
272,lithium composite oxide,Electrode materials,Active materials,3,2,30.222,86.8,lithium composite oxide,US20160172674A1-20160616 US20160190579A1-20160630
273,anode active material,Electrode materials,Active materials,3,2,21.587,54.5,anode active material,US20160190570A1-20160630 US20160248093A1-20160825
274,positive electrode active material,Electrode materials,Active materials,4,2,17.27,51.5,positive electrode active material | positive-electrode active material,US20160156069A1-20160602 US20160164091A1-20160609
275,negative electrode material,Electrode materials,Active materials,3,2,8.635,21.3,negative electrode material,US20060051674A1-20060309 US20160240843A1-20160818
276,anode composition,Electrode materials,Active materials,2,2,8.635,20.3,anode composition,US20060046144A1-20060302 US20160190570A1-20160630
277,active cathode material,Electrode materials,Active materials,3,1,25.053,53.4,active cathode material,US20160164075A1-20160609
278,lithium-cobalt based complex oxide,Electrode materials,Active materials,4,1,15.032,52.5,lithium-cobalt based complex oxide,US20160181609A1-20160623
279,carbon-treated complex oxide,Electrode materials,Active materials,3,1,15.032,45.7,carbon-treated complex oxide | carbon-treated complex oxides,US20160126539A1-20160505
280,transition metal composite oxide,Electrode materials,Active materials,4,1,10.021,30.1,transition metal composite oxide,US20160190579A1-20160630
281,lithium-ion-battery active material,Electrode materials,Active materials,3,1,10.021,26.3,lithium-ion-battery active material,US20160149216A1-20160526
282,size-reduced silicon,Electrode materials,Active materials,2,1,10.021,25.1,size-reduced silicon,US20160164085A1-20160609
283,active electrode material,Electrode materials,Active materials,3,1,20.043,20.1,active electrode material,US20160204427A1-20160714
284,high-capacity nanostructured germanium-containing material,Electrode materials,Active materials,4,1,5.011,19.4,high-capacity nanostructured germanium-containing materials,US20100190059A1-20100729
285,sodium-containing transition metal oxide,Electrode materials,Active materials,4,1,5.011,17.1,sodium-containing transition metal oxide,US20160156069A1-20160602
286,triple conducting cathode material,Electrode materials,Active materials,4,1,5.011,16.6,triple conducting cathode material,US20160204444A1-20160714
287,crystalline li15si4,Electrode materials,Active materials,2,1,5.011,15.1,crystalline li15si4,US20060046144A1-20060302
288,surface treated silicon,Electrode materials,Active materials,3,1,5.011,14.8,surface treated silicon,US20160141604A1-20160519
289,s8 sulfur,Electrode materials,Active materials,2,1,5.011,14.7,s8 sulfur,US20160164104A1-20160609
290,lithium titanate material,Electrode materials,Active materials,3,1,5.011,14.0,lithium titanate material,US20060093921A1-20060504
291,granulated electrode active material,Electrode materials,Active materials,4,1,5.011,14.0,granulated electrode active material,US20160204434A1-20160714
292,compound amxo4,Electrode materials,Active materials,2,1,5.011,13.7,compound amxo4,US20160126539A1-20160505
293,lithium metallic oxide,Electrode materials,Active materials,3,1,5.011,13.7,lithium metallic oxide,US20160126546A1-20160505
294,hard carbon,Electrode materials,Active materials,2,1,5.011,13.0,hard carbon,US20160156069A1-20160602
295,coated active material,Electrode materials,Active materials,3,1,5.011,12.4,coated active material,US20160149216A1-20160526
296,alloy-type material,Electrode materials,Active materials,2,1,5.011,11.9,alloy-type material,US20060046144A1-20060302
297,active substance,Electrode materials,Active materials,2,1,5.011,11.8,active substance,US20160211515A1-20160721
298,electroactive material,Electrode materials,Active materials,2,1,5.011,11.3,electroactive materials,US20170005341A1-20170105
299,silicon-based material,Electrode materials,Active materials,2,1,5.011,11.3,silicon-based material,US20160248088A1-20160825
300,lithium alloy,Electrode materials,Active materials,2,1,5.011,11.0,lithium alloys,US20100190059A1-20100729
301,active silicon,Electrode materials,Active materials,2,1,5.011,9.7,active silicon,US20160248088A1-20160825
302,lithium metal,Electrode materials,Active materials,2,1,5.011,9.4,lithium metal,US20170092937A1-20170330
303,primary particle,Electrode materials,Particles & microstructure,2,4,21.746,51.6,primary particle | primary particles,US20060002844A1-20060105 US20160190570A1-20160630 US20160172674A1-20160616 US20160211504A1-20160721
304,oxide particle,Electrode materials,Particles & microstructure,2,4,21.746,28.7,oxide particles,US20160149214A1-20160526 US20160172674A1-20160616 US20160164091A1-20160609 US20160164093A1-20160609
305,active material particle,Electrode materials,Particles & microstructure,3,3,35.208,76.4,active material particle | active material particles,US20160190560A1-20160630 US20160204438A1-20160714 US20160240843A1-20160818
306,composite oxide particle,Electrode materials,Particles & microstructure,3,3,11.736,37.4,composite oxide particles,US20160172674A1-20160616 US20160164091A1-20160609 US20160164093A1-20160609
307,core particle,Electrode materials,Particles & microstructure,2,2,21.587,54.7,core particles,US20170092937A1-20170330 US20160172685A1-20160616
308,composite hydroxide particle,Electrode materials,Particles & microstructure,3,2,8.635,28.8,composite hydroxide particles,US20160172674A1-20160616 US20160172673A1-20160616
309,layered structure,Electrode materials,Particles & microstructure,2,2,8.635,23.5,layered structure,US20160172674A1-20160616 US20160111749A1-20160421
310,secondary particle,Electrode materials,Particles & microstructure,2,2,12.952,14.3,secondary particles,US20160190570A1-20160630 US20160172674A1-20160616
311,silicon oxide particle,Electrode materials,Particles & microstructure,3,1,15.032,37.8,silicon oxide particles,US20160149214A1-20160526
312,irreducible inorganic material particle,Electrode materials,Particles & microstructure,4,1,10.021,33.4,irreducible inorganic material particles,US20060002844A1-20060105
313,hollow active material particle,Electrode materials,Particles & microstructure,4,1,10.021,29.9,hollow active material particle,US20160204438A1-20160714
314,meso-porous structure,Electrode materials,Particles & microstructure,2,1,10.021,24.6,meso-porous structures | meso-porous structure,US20160226070A1-20160804
315,active electrode material particle,Electrode materials,Particles & microstructure,4,1,10.021,24.5,active electrode material particles,US20160204427A1-20160714
316,granulated particle,Electrode materials,Particles & microstructure,2,1,10.021,23.8,granulated particles,US20160211554A1-20160721
317,inorganic material particle,Electrode materials,Particles & microstructure,3,1,15.032,19.4,inorganic material particles,US20060002844A1-20060105
318,metal particle,Electrode materials,Particles & microstructure,2,1,10.021,19.0,metal particles,US20060002844A1-20060105
319,amorphous silicon primary particle,Electrode materials,Particles & microstructure,4,1,5.011,18.0,amorphous silicon primary particles,US20160190570A1-20160630
320,crystalline silicon primary particle,Electrode materials,Particles & microstructure,4,1,5.011,17.4,crystalline silicon primary particles,US20160190570A1-20160630
321,reducible inorganic material particle,Electrode materials,Particles & microstructure,4,1,5.011,17.1,reducible inorganic material particles,US20060002844A1-20060105
322,encapsulated sulfur particle,Electrode materials,Particles & microstructure,3,1,5.011,16.4,encapsulated sulfur particles,US20170194636A1-20170706
323,three-dimensional porous structure,Electrode materials,Particles & microstructure,3,1,5.011,14.4,three-dimensional porous structures,US20160226070A1-20160804
324,silicon primary particle,Electrode materials,Particles & microstructure,3,1,10.021,14.0,silicon primary particles,US20160190570A1-20160630
325,silicon secondary particle,Electrode materials,Particles & microstructure,3,1,10.021,12.6,silicon secondary particles,US20160190570A1-20160630
326,silicon particle,Electrode materials,Particles & microstructure,2,1,5.011,10.2,silicon particles,US20160190570A1-20160630
327,negative electrode,Electrode materials,Electrodes & current collectors,2,9,98.469,209.7,negative electrode,US20060093921A1-20060504 US20060051674A1-20060309 US20160190560A1-20160630 US20160156069A1-20160602 US20160344021A1-20161124 US20160149214A1-20160526 US20160233469A1-20160811 US20160126546A1-20160505 US20160240843A1-20160818
328,current collector,Electrode materials,Electrodes & current collectors,2,9,50.641,174.0,current collector | current collectors,US20070009802A1-20070111 US20060093921A1-20060504 US20160344021A1-20161124 US20160226070A1-20160804 US20160172678A1-20160616 US20160118671A1-20160428 US20160211504A1-20160721 US20160204434A1-20160714 US20160301084A1-20161013
329,electrode assembly,Electrode materials,Electrodes & current collectors,2,9,53.455,67.3,electrode assembly | electrode assemblies,US20060105214A1-20060518 US20060134469A1-20060622 US20070231687A1-20071004 US20160248088A1-20160825 US20160240883A1-20160818 US20160218378A1-20160728 US20160301041A1-20161013 US20160156053A1-20160602 US20160301084A1-20161013
330,positive electrode,Electrode materials,Electrodes & current collectors,2,5,37.413,65.7,positive electrode,US20060093921A1-20060504 US20160156069A1-20160602 US20160233469A1-20160811 US20160126546A1-20160505 US20160164091A1-20160609
331,electrode mixture layer,Electrode materials,Electrodes & current collectors,3,3,27.384,78.4,electrode mixture layer,US20160211554A1-20160721 US20160211504A1-20160721 US20160204438A1-20160714
332,porous electrode,Electrode materials,Electrodes & current collectors,2,2,30.222,63.9,porous electrode | porous electrodes,US20060105244A1-20060518 US20160172685A1-20160616
333,electrode layer,Electrode materials,Electrodes & current collectors,2,2,21.587,39.5,electrode layers | electrode layer,US20170062800A1-20170302 US20160156053A1-20160602
334,electrode structure,Electrode materials,Electrodes & current collectors,2,2,17.27,34.3,electrode structure,US20160172657A1-20160616 US20160344021A1-20161124
335,cathode layer,Electrode materials,Electrodes & current collectors,2,2,12.952,26.0,cathode layer,US20070009802A1-20070111 US20160248093A1-20160825
336,anode layer,Electrode materials,Electrodes & current collectors,2,2,21.587,22.3,anode layer,US20070009802A1-20070111 US20160248093A1-20160825
337,active material layer,Electrode materials,Electrodes & current collectors,3,2,8.635,20.8,active material layer | active material layers,US20160344021A1-20161124 US20160141604A1-20160519
338,current collecting member,Electrode materials,Electrodes & current collectors,3,1,15.032,45.0,current collecting member | current collecting members,US20160301041A1-20161013
339,conductive layer,Electrode materials,Electrodes & current collectors,2,1,20.043,36.8,conductive layer,US20160211528A1-20160721
340,polycrystalline electrode,Electrode materials,Electrodes & current collectors,2,1,15.032,32.5,polycrystalline electrode,US20170062800A1-20170302
341,buried lithium anode layer,Electrode materials,Electrodes & current collectors,4,1,10.021,30.4,buried lithium anode layer,US20070009802A1-20070111
342,composite electrode,Electrode materials,Electrodes & current collectors,2,1,15.032,26.8,composite electrodes | composite electrode,US20160204427A1-20160714
343,conductive collector substrate,Electrode materials,Electrodes & current collectors,3,1,10.021,26.7,conductive collector substrate,US20160226070A1-20160804
344,conductive current collector,Electrode materials,Electrodes & current collectors,3,1,10.021,25.9,conductive current collector,US20160226070A1-20160804
345,cathode puck,Electrode materials,Electrodes & current collectors,2,1,10.021,23.9,cathode puck,US20160204491A1-20160714
346,cathode collector,Electrode materials,Electrodes & current collectors,2,1,10.021,19.9,cathode collector,US20160204491A1-20160714
347,electrode body,Electrode materials,Electrodes & current collectors,2,1,10.021,19.1,electrode body,US20160211554A1-20160721
348,expanded metal microgrid,Electrode materials,Electrodes & current collectors,3,1,5.011,17.4,expanded metal microgrids,US20060105244A1-20060518
349,high loading sulfur cathode,Electrode materials,Electrodes & current collectors,4,1,5.011,17.0,high loading sulfur cathodes,US20170194636A1-20170706
350,thin film porous cathode,Electrode materials,Electrodes & current collectors,4,1,5.011,16.5,thin film porous cathode,US20160204444A1-20160714
351,electrode plate,Electrode materials,Electrodes & current collectors,2,1,10.021,16.5,electrode plate,US20160240883A1-20160818
352,battery electrode,Electrode materials,Electrodes & current collectors,2,1,10.021,14.2,battery electrodes | battery electrode,US20160141625A1-20160519
353,metal porous body,Electrode materials,Electrodes & current collectors,3,1,5.011,13.5,metal porous body,US20160156053A1-20160602
354,anode current collector,Electrode materials,Electrodes & current collectors,3,1,5.011,12.7,anode current collector,US20070009802A1-20070111
355,cathode current collector,Electrode materials,Electrodes & current collectors,3,1,5.011,12.5,cathode current collector,US20070009802A1-20070111
356,electrode current collector,Electrode materials,Electrodes & current collectors,3,1,5.011,11.9,electrode current collector,US20160211504A1-20160721
357,electroactive layer,Electrode materials,Electrodes & current collectors,2,1,5.011,11.6,electroactive layer,US20170005341A1-20170105
358,lithium anode layer,Electrode materials,Electrodes & current collectors,3,1,15.032,11.5,lithium anode layer,US20070009802A1-20070111
359,oxygen cathode,Electrode materials,Electrodes & current collectors,2,1,5.011,10.8,oxygen cathode,US20060078764A1-20060413
360,anode collector,Electrode materials,Electrodes & current collectors,2,1,5.011,10.2,anode collector,US20160204491A1-20160714
361,silicon anode,Electrode materials,Electrodes & current collectors,2,1,5.011,10.2,silicon anode,US20160248088A1-20160825
362,electrode material layer,Electrode materials,Electrodes & current collectors,3,1,5.011,9.9,electrode material layer,US20160204434A1-20160714
363,anode structure,Electrode materials,Electrodes & current collectors,2,1,5.011,9.6,anode structure,US20160226070A1-20160804
364,conductive material,Electrode materials,Conductive additives & binders,2,5,34.012,80.4,conductive material | conductive materials,US20060141328A1-20060629 US20170005341A1-20170105 US20160126587A1-20160505 US20160211504A1-20160721 US20160211528A1-20160721
365,electronic conductive material,Electrode materials,Conductive additives & binders,3,1,5.011,12.7,electronic conductive materials,US20170005341A1-20170105
366,porous conductive material,Electrode materials,Conductive additives & binders,3,1,5.011,12.1,porous conductive material,US20160211528A1-20160721
367,binding material,Electrode materials,Conductive additives & binders,2,1,5.011,11.9,binding material,US20160204434A1-20160714
368,polymer binder,Electrode materials,Conductive additives & binders,2,1,5.011,11.4,polymer binders,US20160141604A1-20160519
369,nonaqueous electrolyte,Electrolytes & separators,"Liquid electrolytes, solvents & salts",2,13,73.371,284.1,nonaqueous electrolyte | non-aqueous electrolyte,US20060105244A1-20060518 US20160149214A1-20160526 US20160226067A1-20160804 US20160211515A1-20160721 US20160126546A1-20160505 US20160172674A1-20160616 US20160141719A1-20160519 US20160211554A1-20160721 US20160172673A1-20160616 US20160164091A1-20160609 US20160204438A1-20160714 US20160164093A1-20160609 US20160240843A1-20160818
370,electrolyte solution,Electrolytes & separators,"Liquid electrolytes, solvents & salts",2,3,39.12,96.7,electrolyte solution | electrolyte solutions,US20160233546A1-20160811 US20160211539A1-20160721 US20160149216A1-20160526
371,electrolytic solution,Electrolytes & separators,"Liquid electrolytes, solvents & salts",2,3,39.12,84.1,electrolytic solution | electrolytic solutions,US20160172657A1-20160616 US20160164140A1-20160609 US20160181616A1-20160623
372,organic solvent,Electrolytes & separators,"Liquid electrolytes, solvents & salts",2,3,11.736,25.2,organic solvent,US20160233546A1-20160811 US20160164141A1-20160609 US20160301084A1-20161013
373,ionic liquid,Electrolytes & separators,"Liquid electrolytes, solvents & salts",2,2,21.587,57.6,ionic liquid,US20160141719A1-20160519 US20160149249A1-20160526
374,conducting salt,Electrolytes & separators,"Liquid electrolytes, solvents & salts",2,2,8.635,24.7,conducting salt,US20160164144A1-20160609 US20160164141A1-20160609
375,liquid electrolyte,Electrolytes & separators,"Liquid electrolytes, solvents & salts",2,2,12.952,19.5,liquid electrolyte,US20160164120A1-20160609 US20160211528A1-20160721
376,non-aqueous electrolytic solution,Electrolytes & separators,"Liquid electrolytes, solvents & salts",3,1,35.074,74.7,non-aqueous electrolytic solution | non-aqueous electrolytic solutions,US20160164140A1-20160609
377,non-aqueous electrolytic solution kit,Electrolytes & separators,"Liquid electrolytes, solvents & salts",4,1,10.021,35.3,non-aqueous electrolytic solution kit,US20160164140A1-20160609
378,acetic acid ester,Electrolytes & separators,"Liquid electrolytes, solvents & salts",3,1,10.021,35.0,acetic acid esters,US20160164144A1-20160609
379,butyric acid ester,Electrolytes & separators,"Liquid electrolytes, solvents & salts",3,1,10.021,35.0,butyric acid esters,US20160164144A1-20160609
380,base non-aqueous electrolytic solution,Electrolytes & separators,"Liquid electrolytes, solvents & salts",4,1,10.021,33.4,base non-aqueous electrolytic solution,US20160164140A1-20160609
381,cyclic carbonate,Electrolytes & separators,"Liquid electrolytes, solvents & salts",2,1,10.021,27.2,cyclic carbonate,US20160164140A1-20160609
382,chain ester,Electrolytes & separators,"Liquid electrolytes, solvents & salts",2,1,10.021,26.7,chain ester,US20160164140A1-20160609
383,electrolyte fluid,Electrolytes & separators,"Liquid electrolytes, solvents & salts",2,1,10.021,20.3,electrolyte fluid,US20100183906A1-20100722
384,cyclic sulfate ester compound,Electrolytes & separators,"Liquid electrolytes, solvents & salts",4,1,5.011,20.0,cyclic sulfate ester compound,US20160233546A1-20160811
385,molten salt,Electrolytes & separators,"Liquid electrolytes, solvents & salts",2,1,15.032,19.8,molten salt,US20160156069A1-20160602
386,electrolyte composition,Electrolytes & separators,"Liquid electrolytes, solvents & salts",2,1,10.021,19.8,electrolyte composition,US20160164141A1-20160609
387,aprotic organic solvent,Electrolytes & separators,"Liquid electrolytes, solvents & salts",3,1,5.011,17.3,aprotic organic solvent,US20160164141A1-20160609
